Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,6.07,31.679,703.015,,0.045,MM,20.7,3.6,103.6,51.004
2,JR_080218_07,50,Standard,50,,,1139.25,,,,,,,
3,JR_080218_08,100,Standard,100,6,188.669,1291.905,,0.146,bb,85.9,-14.1,85.9,339.75
4,JR_080218_09,250,Standard,250,5.95,659.893,1349.589,,0.489,bb,307.3,22.9,122.9,425.546
5,JR_080218_10,500,Standard,500,6,1500.374,1358.042,,1.105,bbX,704.8,41,141,49.287
6,JR_080218_11,be,Recovery,500,6.82,4536.846,6570.725,,0.69,bb,437.3,-12.5,87.5,316.761
7,JR_080218_12,2000,Standard,2000,6,10169.655,2846.746,,3.572,bb,2297.6,14.9,114.9,1181.438
8,JR_080218_13,10000,Standard,10000,6,37769.332,2522.679,,14.972,bb,9656,-3.4,96.6,12240.502
9,JR_080218_62,NG pblnk,,,,,2946.198,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,2558.068,,,MM-I,,,,
11,JR_080218_64,NG tris n=2,,,,,2492.618,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,745.295,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,352.954,,,,,,,
14,JR_080218_67,NG EDTA,,,,,2498.526,,,MM-I,,,,
15,JR_080218_68,NG PBS,,,,,2301.296,,,,,,,
16,JR_080218_69,NG ???,,,,,2789.211,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,5.82,562.128,6378.298,,0.088,MM,48.5,,,609.311
19,JR_080218_72,100,,,5.77,745.43,5501.481,,0.135,MM,79.1,,,179.65
20,JR_080218_77,sblnk,,,,,5361.701,,,MM-I,,,,
21,JR_080218_78,20,Standard,20,5.92,177.947,4985.879,,0.036,bb,14.7,-26.7,73.3,139.794
22,JR_080218_79,20,Standard,20,5.94,88.226,5177.179,,0.017,bbX,2.6,-86.9,13.1,77.188
23,JR_080218_80,50,Standard,50,5.92,386.395,4677.352,,0.083,bb,45,-10.1,89.9,137.345
24,JR_080218_81,100,Standard,100,5.9,716.907,3814.458,,0.188,MM,112.9,12.9,112.9,265.984
,,,,,,,,,,,,,,
